                   K3AlF6 - most stable phases
                             FactPS.
                      Units:  K, bar, J, mol
    Standard state: pure solid, liquid and ideal gas at 1 bar
              - STANDARD STATE PROPERTIES / MOLE -
 ______ ________  ________  ___________  ___________  ________
 Phase    T(K)    Cp(J/K)       H(J)        G(J)       S(J/K)
 ______ ________  ________  ___________  ___________  ________
   S1     298.15   222.866   -3326280.0   -3411107.3   284.512
          300.00   223.274   -3325867.3   -3411634.9   285.892
          350.00   233.069   -3314449.9   -3426825.3   321.073
          400.00   241.246   -3302587.0   -3443683.7   352.742
          450.00   248.483   -3290340.7   -3462052.4   381.582
          500.00   255.135   -3277748.4   -3481803.4   408.110
          550.00   261.405   -3264833.6   -3502831.6   432.724
          600.00   267.416   -3251612.1   -3525049.0   455.728
          650.00   273.243   -3238095.0   -3548381.6   477.364
          700.00   278.938   -3224290.0   -3572765.8   497.823
          750.00   284.881   -3210190.8   -3598147.1   517.275
          800.00   290.040   -3195814.9   -3624478.4   535.829
          850.00   294.589   -3181197.0   -3651716.2   553.552
          900.00   298.646   -3166364.3   -3679820.8   570.507
          950.00   302.298   -3151339.1   -3708755.1   586.754
         1000.00   305.607   -3136140.1   -3738485.2   602.345
         1050.00   308.620   -3120783.3   -3768979.5   617.330
         1100.00   311.374   -3105282.4   -3800208.8   631.751
         1150.00   313.896   -3089649.7   -3832145.9   645.649
         1200.00   316.210   -3073896.3   -3864765.6   659.058
         1250.00   318.335   -3058031.9   -3898044.1   672.010
         1300.00   320.286   -3042065.7   -3931959.4   684.534
 
