Distance (µm),C At%,Si At%,O At%,F At%,K At%,Na At%,Ti At%,Fe At%,B At%,
0,18.90402,79.78915,0.855058,0,0,0,0.274871,0.176895,0,
0.00383406325160803,17.94318,81.64159,0.415231,0,0,0,0,0,0,
0.00766812650321625,14.13229,85.2493,0.248305,0,0,0.276601,0,0.0935,0,
0.0115021897548243,17.44569,81.11156,0.743703,0.074883,0.014433,0,0.609726,0,0,
0.0153362530064323,23.02945,76.47624,0.069432,0.110394,0.053386,0.152258,0.108838,0,0,
0.0191703162580403,20.21396,79.77337,0,0,0,0,0.012677,0,0,
0.0230043795096485,21.48646,77.8773,0,0.568839,0,0.067405,0,0,0,
0.0268384427612566,18.88942,80.11121,0.727512,0.246472,0,0,0,0.025393,0,
0.0306725060128646,16.96642,81.59568,0.404513,0,0.058334,0.144094,0.480883,0.350081,0,
0.0345065692644728,16.30209,80.82934,1.302704,0.214522,0,0.342563,0,0.209053,0.799737,
0.0383406325160809,15.52157,82.09954,0,0,0.422164,0.079887,0,0,1.876839,
0.0421746957676889,16.37573,81.98803,1.140009,0.025984,0.152171,0.223004,0,0.095076,0,
0.0460087590192969,20.89626,77.92374,0.073361,0.422242,0.497533,0.186872,0,0,0,
0.0498428222709051,19.69095,79.27917,0.420352,0.419479,0.19005,0,0,0,0,
0.0536768855225131,23.11575,74.90603,1.78973,0,0,0.188491,0,0,0,
0.0575109487741212,18.07745,80.13174,0.779499,0.097937,0.525898,0.337021,0,0.050457,0,
0.0613450120257294,19.00061,79.645,0.936634,0.177907,0,0.239837,0,0,0,
0.0651790752773374,18.99478,79.19077,0.470505,0,0.332994,0.684193,0.228245,0.098512,0,
0.0690131385289454,17.31383,79.2481,0.952771,0.607001,0,0.132989,0.196617,0.101874,1.44682,
0.0728472017805537,21.0948,76.76607,1.113173,0,0,0.664903,0,0.361058,0,
0.0766812650321617,19.07495,79.56844,0.581874,0.774738,0,0,0,0,0,
0.0805153282837697,17.52324,80.7757,0.268982,0.235566,0,0.47949,0,0,0.717016,
0.0843493915353777,16.75991,82.33489,0.182576,0.57033,0,0,0,0.152293,0,
0.088183454786986,19.46018,78.83041,0.636002,0.312882,0,0.200077,0.299219,0.261234,0,
0.092017518038594,19.21776,78.81403,0.571446,0.762584,0,0.634179,0,0,0,
0.0958515812902017,16.84863,81.38669,1.078734,0.045743,0.26111,0.125168,0.253928,0,0,
0.0996856445418099,18.16216,79.82571,0.769138,0,0,0,0,0.080032,1.162953,
0.103519707793418,18.06856,77.86314,0.372286,1.385,0,0,0,0,2.311012,
0.107353771045026,18.93011,80.20846,0.247691,0.079101,0,0.268361,0.167121,0.099161,0,
0.111187834296634,22.29292,76.66284,0,0.153846,0,0.510549,0.060464,0.319379,0,
0.115021897548242,20.02759,79.26541,0.570684,0,0,0,0.057567,0.078744,0,
0.11885596079985,18.93638,79.82428,0,0.41674,0.205017,0.404956,0.148534,0.064094,0,
0.122690024051458,20.76923,78.32643,0.394134,0.094728,0.082306,0,0.178521,0.154649,0,
0.126524087303066,16.73448,81.21283,1.107832,0.632207,0,0,0.163614,0.149036,0,
0.130358150554675,18.20234,79.94304,0.118052,1.559844,0,0.176728,0,0,0,
0.134192213806283,18.17106,79.97385,1.180901,0.347677,0.326507,0,0,0,0,
0.138026277057891,17.31205,81.4752,0.714371,0,0.178844,0.252317,0.067213,0,0,
0.141860340309499,19.75334,79.44342,0,0.477032,0,0,0.184472,0.14174,0,
0.145694403561107,17.15454,80.46329,1.1688,0.510652,0.210567,0,0,0.360098,0.132054,
0.149528466812715,19.12614,80.00546,0.160983,0.433708,0,0.043896,0,0.229805,0,
0.153362530064323,19.37247,79.08818,0.755657,0.400958,0.004684,0.242687,0.135362,0,0,
0.157196593315931,17.89481,80.12346,0.903138,0.277649,0,0.035216,0.129596,0.122018,0.514111,
0.161030656567539,22.60385,75.85623,0.152134,0.786968,0.172392,0.411735,0,0.016689,0,
0.164864719819147,17.65358,78.3551,0.612163,0,0,0,0,0.219765,3.159389,
0.168698783070755,17.36761,81.30874,0.71798,0.16888,0.06358,0,0.004509,0,0.368707,
0.172532846322363,20.85532,77.00906,1.271211,0.258105,0.033192,0.017003,0.205409,0.350699,0,
0.176366909573971,19.23025,78.60533,1.5633,0.134606,0.209977,0,0,0.256539,0,
0.180200972825579,22.55298,75.46543,0.86416,0.352383,0.270935,0,0,0.248921,0.245199,
0.184035036077187,18.26815,79.84509,0.80806,1.078694,0,0,0,0,0,
0.187869099328795,17.31126,81.60243,0.287977,0.323529,0.092333,0,0.057374,0.325097,0,
0.191703162580404,20.44847,77.29317,0.444326,0.401988,0.398526,0.781087,0,0.232431,0,
0.195537225832012,20.24304,79.63724,0.093731,0,0.025998,0,0,0,0,
0.19937128908362,20.85413,77.5237,0,1.144858,0.139636,0.275877,0.061798,0,0,
0.203205352335228,24.14631,74.08833,0,0.30536,0.403057,0.598007,0.012678,0.446258,0,
0.207039415586836,21.03767,77.65662,0.813949,0,0.403464,0,0.016184,0.072108,0,
0.210873478838444,17.77654,80.43911,0.850378,0,0.340443,0.132988,0.210037,0.201364,0.049138,
0.214707542090052,19.43638,77.74406,1.256394,0.094684,0.202033,0.289783,0,0.237511,0.739155,
0.21854160534166,18.0566,79.44855,0.783147,0.700926,0,0,0.230625,0.295431,0.484712,
0.222375668593268,17.70611,81.21329,0,0.516761,0.245456,0,0.073657,0.244728,0,
0.226209731844876,22.85953,74.89659,1.579905,0.371094,0,0,0,0,0.292875,
0.230043795096484,21.63974,74.98042,1.610996,0.468486,0.608272,0.69209,0,0,0,
0.233877858348093,21.01074,76.90201,0.720743,0.398289,0.581096,0,0.044383,0.342736,0,
0.2377119215997,20.9101,75.39081,1.179952,0.692518,0.217415,0,0,0.075779,1.533427,
0.241545984851309,20.52514,78.52514,0.565991,0.301049,0,0,0.014043,0.068634,0,
0.245380048102917,22.44606,75.80924,0.547745,0.584938,0.292455,0.313494,0.006064,0,0,
0.249214111354525,20.2762,77.26097,0.214628,0.676636,0.584743,0.548678,0,0.438137,0,
0.253048174606133,19.68229,78.41227,0,1.124456,0.516692,0.264297,0,0,0,
