Distance (µm),C Wt%,Si Wt%,O Wt%,F Wt%,K Wt%,Na Wt%,Ti Wt%,Fe Wt%,B Wt%,
0.264550364360957,10.28764,86.34386,0.658292,0.396692,0.888613,0.308493,1.012002,0.104402,0,
0.268384427612565,10.68455,88.54154,0,0.576833,0,0.197076,0,0,0,
0.272218490864173,10.56514,86.82035,0.637,0.849385,0.814376,0.313754,0,0,0,
0.276052554115781,9.904074,88.17982,0.555779,0.26414,0.487523,0.285374,0,0.035595,0.287696,
0.279886617367389,11.169,86.61671,0.580008,0.752435,0.076105,0,0.442671,0.363078,0,
0.283720680618998,10.33048,86.18124,1.009232,0.113685,1.2823,0.15125,0.047801,0.884021,0,
0.287554743870606,10.39839,88.3142,0.175153,0.224488,0,0,0.468915,0.418859,0,
0.291388807122214,8.08931,88.8361,0.882664,0.585265,0.405507,0,0,0,1.20116,
0.295222870373822,10.63319,86.15878,0,0.99031,1.41386,0.25736,0,0.324699,0.221807,
0.29905693362543,11.67676,84.77532,0.745186,0.897784,1.41104,0,0,0.493904,0,
0.302890996877038,9.200886,88.38372,0.256954,0.360089,1.194827,0.159571,0,0,0.44395,
0.306725060128646,10.20415,86.01184,0.70467,0.560042,1.085023,0.5662,0,0.67016,0.19792,
0.310559123380254,9.699869,86.93313,0.634471,0.786608,0.972382,0.121662,0,0.851881,0,
0.314393186631862,9.979919,87.56071,0.585529,1.01492,0,0,0.316138,0.344534,0.198242,
0.31822724988347,8.982395,88.07331,0.823089,0.669966,1.214062,0.202214,0,0.03496,0,
0.322061313135078,12.1838,84.86637,0.659413,0.316913,1.526433,0.050803,0.065229,0,0.331042,
0.325895376386686,11.34678,84.48434,0.462932,1.011039,1.888365,0,0.80654,0,0,
0.329729439638294,13.20456,85.13979,0.455035,0.308251,0.28699,0.083281,0,0.336799,0.185288,
0.333563502889902,11.38376,85.57285,0.707463,1.381459,0.776823,0.049185,0.128462,0,0,
0.33739756614151,9.115132,87.89316,0.378682,0.444478,0.711067,0.338973,0.953495,0.165018,0,
0.341231629393118,11.37552,86.98357,0.15199,0.189923,0.64947,0,0.649523,0,0,
0.345065692644726,11.26682,83.90369,0.947395,0.417157,2.569897,0,0,0.89504,0,
0.348899755896335,11.03611,87.46243,0,0.425954,0.793392,0.244457,0.037661,0,0,
0.352733819147943,9.375779,87.79739,0.869652,0.261916,0.90759,0.057532,0.632057,0.098076,0,
0.356567882399551,11.13254,83.36918,0.33064,0.969772,0.322799,0.071916,1.34452,1.216016,1.242621,
0.360401945651159,12.34444,84.3243,0.348097,1.60804,0.845394,0.105473,0.424261,0,0,
0.364236008902767,10.63079,86.01349,0.750664,0.353561,0.787952,0.434132,0.331458,0.278905,0.419055,
0.368070072154375,11.77846,85.78571,0.46864,0.599975,0.895315,0.471901,0,0,0,
0.371904135405983,9.812595,87.10366,0.786726,0.874091,1.084777,0,0.054734,0.283413,0,
0.375738198657591,12.92045,84.44012,0.421044,1.02333,0.275352,0,0.373333,0.546378,0,
0.379572261909199,10.14023,86.29264,0,0.732033,2.09367,0.014937,0,0,0.726493,
0.383406325160807,9.652804,86.245,1.032458,0.430156,1.44855,0.198321,0.675641,0.317077,0,
0.387240388412415,12.89507,82.48142,0.617158,0.546086,1.809039,0.145385,0.254923,1.250924,0,
0.391074451664024,12.30463,84.20537,0.542888,0.894062,1.075554,0.590888,0,0,0.386618,
0.394908514915632,11.92993,84.49235,0.250182,0.712066,2.615468,0,0,0,0,
0.39874257816724,11.42158,85.42532,1.448154,0.368991,1.094434,0.121441,0.120076,0,0,
0.402576641418848,13.19886,83.67612,0.455945,0.128237,2.02163,0,0,0.519206,0,
0.406410704670456,11.41683,83.93502,0.730897,0.56392,1.561984,0.008189,0,0.912074,0.871083,
0.410244767922064,10.06805,85.16077,1.346576,2.035425,0.84126,0.547921,0,0,0,
0.414078831173672,12.96925,83.93941,1.13739,0.585003,1.368944,0,0,0,0,
0.41791289442528,9.993131,86.2935,0.644331,1.363856,0.982855,0,0,0.722321,0,
0.421746957676888,11.89694,81.32288,1.211229,0.563215,2.878119,0,1.568867,0.558751,0,
0.425581020928496,10.73346,82.66577,1.281671,1.107491,1.955447,0.767293,0.46454,0.463511,0.56081,
0.429415084180104,12.78327,82.1945,1.171786,0.406166,2.341218,0,0,1.10307,0,
0.433249147431712,12.33903,82.00133,0.943586,1.405648,2.318159,0.219609,0,0.759063,0.013574,
0.43708321068332,11.474,83.00236,0.283104,1.949348,2.543168,0.746197,0.001829,0,0,
0.440917273934928,13.02813,81.94592,1.467069,1.97361,1.272528,0.265557,0,0.047195,0,
0.444751337186536,12.76327,79.68124,0.892476,1.386936,4.380769,0.047069,0.505948,0.342288,0,
0.448585400438144,14.16711,81.40496,1.13391,0.770913,2.181288,0,0.34182,0,0,
0.452419463689752,11.76052,83.83686,1.204219,1.051316,1.850667,0.194806,0,0.101607,0,
0.456253526941361,13.48076,81.8164,1.055936,0.77665,1.947076,0,0,0,0.923185,
0.460087590192969,10.82388,84.8434,0.601877,0.911582,2.647428,0,0,0.171842,0,
0.463921653444577,12.98511,81.70056,1.222917,1.177195,2.783868,0,0,0.130348,0,
0.467755716696185,10.88427,82.28297,1.639992,1.510466,2.854538,0.27729,0,0.55047,0,
0.471589779947793,13.34009,79.01504,1.03133,1.896524,2.804573,0.017235,0,0.568719,1.326485,
0.475423843199401,12.22876,80.34661,1.389854,1.029847,4.072377,0.252422,0.024813,0,0.655313,
0.479257906451009,16.63913,75.80747,1.335053,2.263135,3.509753,0.098769,0.113456,0.23323,0,
0.483091969702617,15.17268,76.30547,1.804068,1.786157,4.506701,0,0,0.42493,0,
0.486926032954225,14.49288,73.65165,1.645773,1.601199,6.86485,0,0.498694,1.244951,0,
0.490760096205833,15.30203,75.11324,2.108937,2.018727,4.750754,0.280318,0.004363,0.421637,0,
0.494594159457441,13.93711,75.13934,2.171056,2.011168,5.221588,0.434769,0.03603,0.755936,0.293006,
0.49842822270905,14.78889,73.58418,1.826884,2.388063,5.228106,0.23451,0,1.949368,0,
0.502262285960658,15.53935,73.15379,2.49424,1.794429,5.898751,0.664246,0.072662,0,0.382537,
0.506096349212266,16.2767,68.33932,2.325883,1.488827,8.667189,0.817165,0,0.844636,1.240279,
0.509930412463874,16.70297,69.65167,2.750419,3.412618,7.088845,0.195702,0,0.197776,0,
0.513764475715482,15.42023,70.18073,1.881234,3.839068,7.598479,0.101933,0.978337,0,0,
0.51759853896709,17.29231,69.37062,2.527227,2.749264,7.567554,0,0.493026,0,0,
0.521432602218698,17.4033,68.65566,2.716588,2.708235,8.223979,0.256536,0.018989,0.016714,0,
0.525266665470306,16.81166,68.25966,2.656939,2.915344,8.332524,0.300315,0,0.723556,0,
0.529100728721914,16.6066,71.17666,1.515496,2.652329,7.467581,0.581336,0,0,0,
0.532934791973522,15.15007,68.96038,2.905245,3.283219,8.650459,0.571149,0,0.479481,0,
0.53676885522513,14.89576,70.16711,2.184278,3.219176,9.342014,0.191663,0,0,0,
0.540602918476738,18.38936,67.75565,2.951012,3.131449,7.167942,0.135939,0,0.46866,0,
0.544436981728347,18.59504,68.30798,1.128945,3.899237,8.0688,0,0,0,0,
0.548271044979955,14.03935,69.44461,3.303517,3.344833,9.807468,0.011521,0.048701,0,0,
0.552105108231563,15.49861,69.79111,2.682026,2.805677,9.111998,0.085317,0,0.02526,0,
0.555939171483171,11.66738,73.08914,1.84846,3.175779,7.86629,0.771041,0.941496,0.640411,0,
0.559773234734779,12.3643,72.07828,1.993407,3.348843,8.702899,0.153247,0,0.539691,0.819344,
0.563607297986387,9.921736,74.84155,1.45329,3.180532,9.544354,0.233585,0.824961,0,0,
0.567441361237995,12.62023,75.33958,1.293878,2.686687,7.395228,0.276168,0,0,0.388224,
0.571275424489603,11.52376,73.24797,2.825442,3.785811,5.831896,0.368333,1.076585,1.340196,0,
0.575109487741211,11.74678,76.17128,2.11997,2.562069,6.594377,0,0.716912,0.088617,0,
0.578943550992819,13.814,71.62714,2.372924,2.404807,8.550073,0.479292,0.751764,0,0,
0.582777614244427,13.42984,73.65366,1.444707,3.692973,6.191039,0.672908,0.914872,0,0,
0.586611677496035,11.63889,74.72321,2.112867,3.73121,6.369856,0.438105,0.034424,0,0.951444,
0.590445740747643,15.10154,71.42756,2.837019,2.777375,6.791888,0.289181,0,0.775437,0,
0.594279803999251,14.86357,72.10983,1.481732,2.174269,8.618821,0.57959,0.172191,0,0,
0.598113867250859,13.96442,73.38396,1.893541,2.478135,7.154201,0.016251,0,1.109491,0,
0.601947930502468,13.24928,73.3922,2.364321,1.922989,7.746938,0.17217,0,1.152094,0,
0.605781993754076,11.85403,75.58881,1.937694,2.163796,8.455663,0,0,0,0,
0.609616057005683,9.25068,79.2935,1.987315,2.797738,6.157595,0.513169,0,0,0,
0.613450120257292,10.36689,76.40903,2.054515,1.976657,6.634444,0,0.289887,1.420478,0.8481,
0.6172841835089,11.64762,77.55698,1.246659,2.555703,6.376053,0.218784,0.398204,0,0,
0.621118246760508,12.79475,79.4642,2.237922,1.391829,4.1113,0,0,0,0,
0.624952310012116,13.31888,80.52045,0.912591,1.347181,3.851237,0.049664,0,0,0,
0.628786373263724,12.51983,76.48064,0.978578,1.061785,5.379327,1.344333,0,0.59628,1.639227,
0.632620436515332,12.1945,79.65381,1.424645,0.778317,4.749917,0.086912,0,0,1.111899,
0.63645449976694,11.24224,82.40906,0.687895,2.018859,3.466585,0.123222,0.052144,0,0,
0.640288563018548,13.54765,77.7521,1.74994,1.699071,4.106603,0.170083,0,0.974553,0,
0.644122626270156,10.9781,81.40491,1.130002,1.947961,3.23027,0.327855,0,0.980905,0,
