Distance (µm),O At%,F At%,Si At%,K At%,C At%,Na At%,
0,0.80628,0.49923,79.35326,0.371406,18.28639,0.683439,
0.00157417915213098,0.3346,1.00534,84.40777,0.355915,13.87139,0.024992,
0.00314835830426196,0.699768,0,83.85379,0.134754,15.31169,0,
0.00472253745639293,0.088097,1.00843,82.34143,0.232898,16.26487,0.064279,
0.00629671660852384,1.016156,0.16021,80.90192,0,17.92171,0,
0.00787089576065481,0.046241,0.734879,79.44794,0.001042,19.7504,0.019494,
0.00944507491278579,0.5109,0.656212,80.62328,0,18.20898,0.000628,
0.0110192540649168,1.277907,0.193267,82.92135,0.121197,15.48628,0,
0.0125934332170478,0.627584,0.899489,83.43594,0,14.91156,0.125428,
0.0141676123691787,1.114605,0.218609,84.28724,0,13.6647,0.714842,
0.0157417915213097,0.743046,0.097263,82.12188,0,16.9053,0.132508,
0.0173159706734407,0.530071,0.394302,82.76561,0,16.30145,0.008565,
0.0188901498255716,1.087757,0,81.88024,0.460577,16.57143,0,
0.0204643289777026,0.225335,0.573078,80.00516,0.126008,19.07043,0,
0.0220385081298335,0.373135,0.557973,83.66496,0.216257,15.11929,0.068392,
0.0236126872819645,0.885,0.40831,79.24875,0,19.28119,0.176748,
0.0251868664340955,1.178455,0.383452,84.16959,0.003084,14.26543,0,
0.0267610455862265,0.93062,0.55655,81.68771,0,16.82512,0,
0.0283352247383575,1.653116,0,83.54761,0.031155,14.76812,0,
0.0299094038904884,0.519257,0.762408,82.56384,0.155699,15.9988,0,
0.0314835830426196,0.905117,0.071886,79.66293,0,19.32973,0.030331,
0.0330577621947505,0.900123,0,82.05627,0,17.0436,0,
0.0346319413468815,0.37524,0.385533,83.34924,0,15.56098,0.329001,
0.0362061204990125,0,1.02308,82.31568,0.045186,16.61605,0,
0.0377802996511435,0.843231,0.107633,83.13527,0.177006,15.3601,0.376754,
0.0393544788032745,0.536476,0.269076,83.11977,0.213592,15.7926,0.068485,
0.0409286579554054,0.413249,0.620456,82.52731,0.238657,16.20033,0,
0.0425028371075364,1.479158,0.05438,79.83025,0,18.63621,0,
0.0440770162596673,0.400601,0.510292,78.89095,0,19.78981,0.408341,
0.0456511954117983,0.474754,0,81.07234,0,18.4529,0,
0.0472253745639293,1.167708,0.339207,79.83356,0.002112,18.06583,0.591579,
0.0487995537160602,1.242259,0.071319,79.5896,0.101706,18.99511,0,
0.0503737328681912,0.736768,0.658118,78.96548,0.069415,19.46712,0.103089,
0.0519479120203222,0,0.922059,79.25771,0,19.82023,0,
0.0535220911724532,0.425675,0.225513,80.29239,0.130825,18.9256,0,
0.0550962703245842,0.214211,0.433718,79.52689,0.684423,19.13141,0.009349,
0.0566704494767151,0.353818,0.161826,82.4189,0.456126,15.86209,0.747236,
0.0582446286288461,0.40897,0.092139,81.71547,0.055392,17.47963,0.248406,
0.059818807780977,0.452068,0.719341,81.75491,0.109055,16.96462,0,
0.0613929869331079,0.535106,0.766157,80.72963,0,17.61506,0.354051,
0.062967166085239,0.89876,0.626302,81.56019,0.174514,16.71974,0.020496,
0.0645413452373699,0.190854,1.070076,84.46147,0,14.2776,0,
0.0661155243895009,0.370937,0.615461,84.00331,0.04563,14.96466,0,
0.0676897035416318,0.928255,0.953418,82.14714,0.393772,15.53771,0.039699,
0.0692638826937629,1.290655,0.235656,81.1729,0,17.30078,0,
0.0708380618458938,1.073742,0.129668,79.98165,0,18.52783,0.287109,
0.0724122409980248,0.38453,0,81.46533,0.157901,17.99224,0,
0.0739864201501558,0.940849,0,83.54721,0.129172,15.04395,0.338824,
0.0755605993022867,0,0.528319,82.2798,0.285794,16.90609,0,
0.0771347784544177,0.997712,0.664819,83.84148,0,14.40905,0.086939,
0.0787089576065486,1.009177,0.834243,81.74393,0.343211,16.05842,0.011025,
0.0802831367586797,1.165554,0.008266,81.15473,0,17.66103,0.010424,
0.0818573159108106,0.983058,0.285434,84.26779,0.348837,14.11488,0,
0.0834314950629416,0.601131,1.178704,81.83983,0.444348,15.93599,0,
0.0850056742150725,0.553907,0.380781,80.6217,0,17.89123,0.552385,
0.0865798533672034,0.605527,0.344379,80.28082,0.132638,18.63664,0,
0.0881540325193345,0.050966,0.507336,80.61823,0.059658,18.7638,0,
0.0897282116714656,1.41936,0.627948,81.31886,0,16.42466,0.209182,
0.0913023908235967,0.421659,0.917558,79.82304,0.381058,18.40593,0.050761,
0.0928765699757276,0.692028,0.037064,80.81837,0.156544,18.14334,0.152649,
0.0944507491278586,1.520612,0.023014,81.89539,0.113558,16.36436,0.083067,
0.0960249282799895,0.788071,0.156614,79.98367,0.225691,18.84595,0,
0.0975991074321206,0.233784,1.214176,78.7758,0.002303,19.28744,0.486494,
0.0991732865842515,0.820319,0.795955,81.09812,0.548702,16.7369,0,
0.100747465736382,0.859944,1.451622,81.27194,0.08023,16.05695,0.27931,
0.102321644888513,0.786453,1.643736,84.46097,0.177497,12.86462,0.066733,
0.103895824040644,0.987999,0,82.44666,0.628217,15.69574,0.241386,
0.105470003192775,0.804581,1.088631,80.82074,0.608186,16.49072,0.187145,
0.107044182344906,0.477322,0.410108,81.16522,0.250483,17.19193,0.504937,
0.108618361497037,0.817209,0.677185,82.50012,0.143587,15.84258,0.019317,
0.110192540649168,1.113435,1.354666,82.19351,0.159083,15.17931,0,
0.111766719801299,0.685851,0.599639,79.67617,0.220385,18.81796,0,
0.11334089895343,0.162606,1.313707,79.14693,0.201355,18.77824,0.397159,
0.114915078105561,0.613902,0.384221,81.38321,0,17.61867,0,
0.116489257257692,0.215262,0.616692,82.14659,0,16.54022,0.481236,
0.118063436409823,0.699883,0.706065,78.57848,0.349652,19.66592,0,
0.119637615561954,1.005149,0.940768,79.62041,0.18186,18.15506,0.096755,
0.121211794714085,0.502998,0.8942,81.77351,0.644314,16.18498,0,
0.122785973866216,0.687049,0.963389,77.87024,0,20.47932,0,
0.124360153018347,0.850729,0.541041,83.00213,0.302729,15.30337,0,
0.125934332170478,0.624989,0.886874,81.44348,0,16.90969,0.13497,
0.127508511322609,1.228201,0.958188,79.04144,0.075052,18.69712,0,
0.12908269047474,0.903201,0.515856,79.11471,0.425912,18.67826,0.36206,
0.130656869626871,0.608179,1.383765,80.71876,0.470423,16.81888,0,
0.132231048779002,0.532376,0.812555,79.98024,0.336798,18.33803,0,
0.133805227931133,0.895553,0,78.57883,0,20.33914,0.186467,
0.135379407083264,1.390311,0.3736,82.52189,0.188603,15.5256,0,
0.136953586235395,0.721857,1.224576,79.13773,0.145474,18.77036,0,
0.138527765387526,0.941123,0.231532,83.75111,0,15.07623,0,
0.140101944539657,1.16685,0.522534,81.53616,0.72617,15.87372,0.174559,
0.141676123691788,1.263788,0.357655,81.48723,0.254478,16.39873,0.238116,
0.143250302843919,0,0.897997,81.88647,0.398639,16.81689,0,
0.14482448199605,1.142893,0.309075,80.74292,0.297793,17.50732,0,
0.146398661148181,1.016111,0.065962,79.32281,0.219949,19.07954,0.29563,
0.147972840300311,0.957276,0.20469,80.2719,0.194588,18.37155,0,
0.149547019452442,0.756959,0.235842,80.04709,0.374302,18.1995,0.386308,
0.151121198604573,0.741909,0.347864,81.24681,0.271028,17.1808,0.211588,
0.152695377756704,0.292486,0.907917,80.40477,0.39904,17.76393,0.231854,
0.154269556908835,1.093432,0.851353,78.48844,0.459588,18.91168,0.19551,
0.155843736060967,1.282299,0.955557,82.07588,0.008922,15.37127,0.306067,
0.157417915213098,0.883005,0.298799,81.55557,0.48251,16.78011,0,
0.158992094365229,0.73796,0.654069,79.30775,0.465274,18.74701,0.087941,
0.160566273517359,0,0.678145,80.80132,0.163789,18.34558,0.011169,
0.16214045266949,0.909292,1.207798,79.50052,0.446082,17.93631,0,
0.163714631821621,1.102664,0.701005,80.04521,0.125409,18.02571,0,
0.165288810973752,0,1.463129,78.89678,0.586026,19.05406,0,
0.166862990125883,1.427289,1.018129,80.29,0.051152,16.72376,0.489669,
0.168437169278014,0.495803,1.171415,81.77863,0.419607,15.69001,0.44454,
0.170011348430145,1.387673,1.386623,80.781,0.162484,16.22794,0.054276,
0.171585527582276,1.319995,1.268234,81.09666,0,16.31511,0,
0.173159706734407,1.519354,1.072931,80.38728,0.19206,16.8219,0.006484,
0.174733885886538,1.167993,0.739035,79.94689,0.892928,17.14487,0.108287,
0.176308065038669,1.771291,0.336478,78.38911,0.423775,18.73226,0.347098,
0.1778822441908,1.807708,1.14213,78.78872,0.8782,17.27834,0.104896,
0.179456423342931,1.103307,1.651249,76.3788,0,20.85832,0.008319,
0.181030602495062,1.711555,0.823263,80.7942,0.169526,16.50146,0,
0.182604781647193,0.197393,1.119384,79.31834,0.276112,19.08878,0,
0.184178960799324,1.071678,0.603694,77.19167,0.260171,20.87279,0,
0.185753139951455,0.430458,0.656141,80.46905,0.70094,17.74341,0,
0.187327319103586,1.252651,1.424607,79.16924,0.082078,18.07142,0,
0.188901498255717,1.714266,1.166941,79.40105,0.61063,16.86616,0.240953,
0.190475677407848,1.064731,1.567518,78.40795,0.603579,18.31283,0.043394,
0.192049856559979,0.391443,0.739806,82.77733,0.41873,15.61063,0.062066,
0.19362403571211,0.930096,0.426984,79.52496,0.496957,18.621,0,
0.195198214864241,0.9106,0.957253,80.00689,0.272294,17.69091,0.162055,
0.196772394016372,1.124601,1.040376,77.1114,0.580514,19.82555,0.317551,
0.198346573168503,1.332212,1.213258,79.39489,0.365272,17.63994,0.05443,
0.199920752320634,1.614802,1.52043,77.65385,0.888829,18.29358,0.028513,
0.201494931472765,1.083089,1.440414,77.71824,0.977418,18.78084,0,
0.203069110624896,1.119494,0.982376,80.53544,0.411411,16.95128,0,
0.204643289777027,1.785494,0.475963,79.51833,0.143575,17.50791,0.568718,
0.206217468929158,0.811245,1.318243,80.97948,0.436547,16.45448,0,
0.207791648081289,0.833481,1.44027,81.36611,0.472688,15.8686,0.018856,
0.209365827233419,0.814478,0.83302,79.04272,0.580616,18.52821,0.200959,
0.210940006385551,0,1.100223,83.64778,0,15.05561,0.196383,
0.212514185537682,0.922048,0,80.32999,0.000913,18.70739,0.03966,
0.214088364689813,1.382909,0.691029,81.27139,0.52331,15.94517,0.186188,
0.215662543841944,1.103813,1.248161,78.35863,0.318454,18.97094,0,
0.217236722994075,0.790093,1.615329,81.10529,0.314302,16.17498,0,
0.218810902146206,0.807117,1.820263,80.31612,0.872477,15.981,0.203016,
0.220385081298337,0.776584,0.849856,78.75382,0.624462,18.99528,0,
0.221959260450467,1.209726,0.796018,80.23569,0.545932,17.21264,0,
0.223533439602598,1.15993,1.921872,79.56438,0.402793,16.88224,0.068783,
0.225107618754729,0.511921,1.099657,81.84174,0.695497,15.69993,0.151252,
0.22668179790686,0.935486,1.014395,77.41701,0.896035,19.61948,0.117597,
0.228255977058991,0.840754,1.423866,80.41597,0.517876,16.80153,0,
0.229830156211122,1.409104,1.109648,79.39688,0.614262,17.12472,0.345383,
0.231404335363253,1.201484,1.347766,82.20362,0.778731,14.4684,0,
0.232978514515384,1.314395,1.471442,77.57434,0.400097,18.70362,0.536105,
0.234552693667515,1.164521,1.698158,79.60514,0.533034,16.99914,0,
0.236126872819646,1.212916,1.641217,79.81604,0.33716,16.98482,0.007848,
0.237701051971777,1.032459,1.00802,78.83222,0.128346,18.99896,0,
0.239275231123908,1.743666,0.853821,78.94382,0.788405,17.54491,0.125373,
0.240849410276039,1.485483,1.070214,77.6581,0.541006,19.21257,0.032627,
0.24242358942817,1.360173,1.351557,79.37743,0.632891,17.27795,0,
0.243997768580301,0.625036,1.240928,79.5563,0.942176,17.63556,0,
0.245571947732432,0.694846,1.885836,80.7692,0.323367,15.85896,0.467792,
0.247146126884563,1.146572,1.600221,79.9789,0.391787,16.34528,0.53724,
0.248720306036694,0.565297,1.946658,82.18906,0.870885,14.4281,0,
0.250294485188825,1.847647,1.472535,78.48228,0.399838,17.29581,0.501882,
0.251868664340956,1.946325,1.483358,77.69861,0.381864,18.36763,0.122214,
0.253442843493087,0.336666,2.508986,80.42214,0.771882,15.80925,0.15107,
0.255017022645218,1.274475,1.356149,76.87931,1.00678,19.48328,0,
0.256591201797349,0.985424,1.679806,77.82216,0.105684,19.28403,0.122897,
0.25816538094948,1.054275,0.641106,77.7338,0.76676,19.27893,0.525127,
0.259739560101611,1.380743,0.645737,79.15868,0.474792,18.09211,0.247943,
0.261313739253742,1.859796,0.652634,78.3691,0.17456,18.94391,0,
0.262887918405873,0.418578,2.004605,76.34011,0.674847,20.54039,0.021472,
0.264462097558004,2.17587,1.716103,79.07485,0.479656,16.55352,0,
0.266036276710135,1.184541,0.870191,82.03129,0.313548,15.3088,0.291625,
0.267610455862266,1.442046,0.284369,79.55042,0.66146,18.06171,0,
0.269184635014396,0.621284,2.175888,76.90629,0.677489,19.47415,0.144903,
0.270758814166527,0.935082,2.132437,78.42531,0.859802,17.2544,0.392975,
0.272332993318658,1.454274,1.491531,78.1288,1.011323,17.91407,0,
0.27390717247079,1.649625,1.908207,77.98817,1.086093,17.12263,0.245285,
0.275481351622921,0.982674,1.691299,79.69415,0.818412,16.7834,0.030068,
0.277055530775052,1.843308,1.334801,79.75371,0.642755,16.42543,0,
0.278629709927183,0.619154,1.325573,81.0176,0.625508,16.2228,0.189369,
0.280203889079313,1.483819,1.511489,76.07761,0.667721,19.83153,0.427824,
0.281778068231445,0.776787,1.747769,78.64289,1.433399,17.39915,0,
0.283352247383576,1.250999,1.117082,80.76704,0.701386,15.86646,0.29703,
0.284926426535706,0.870503,1.295268,78.29392,0.508136,18.76665,0.265518,
0.286500605687837,1.704392,0.355959,80.37573,0.783508,16.78041,0,
0.288074784839968,1.097294,1.39729,78.67751,0.49141,17.99537,0.341121,
0.289648963992099,1.352774,0.963699,79.6455,0.909814,16.86908,0.25914,
0.29122314314423,1.044309,1.18608,77.97467,1.19278,18.60217,0,
0.292797322296361,1.489688,1.448103,78.44302,0.968224,17.58582,0.065144,
0.294371501448492,1.075091,1.777783,80.31396,1.260571,15.57259,0,
0.295945680600623,1.694635,2.031016,81.085,0.512775,14.48372,0.192858,
0.297519859752754,1.429421,1.794015,77.26987,1.040296,18.16487,0.301526,
0.299094038904885,2.198433,1.777705,75.83423,0.870684,18.90201,0.416945,
0.300668218057016,1.588596,0.978708,80.5527,0.959855,15.92015,0,
0.302242397209147,1.785689,1.851621,77.65677,0.89566,17.77865,0.031614,
0.303816576361278,1.3388,1.655751,76.26194,0.943731,19.79978,0,
0.305390755513409,1.726139,1.613143,76.12093,1.095829,19.04243,0.401533,
0.30696493466554,1.108561,1.388729,79.13292,0.950147,17.41965,0,
0.308539113817671,1.395389,1.78709,76.87359,1.535144,18.40879,0,
0.310113292969802,1.902391,1.218868,76.33983,1.213556,18.90688,0.418477,
0.311687472121933,1.113011,1.261351,79.02542,0.642208,17.95801,0,
0.313261651274064,1.140057,1.979723,73.74208,1.327611,21.42556,0.384966,
0.314835830426195,1.37036,1.452736,75.14705,1.450216,20.57964,0,
0.316410009578326,0.470358,1.615617,79.23525,1.468634,17.21013,0,
0.317984188730457,1.615252,2.043109,72.97318,0.806973,22.38383,0.177659,
0.319558367882588,1.586576,1.814796,78.06757,1.777122,16.65273,0.101215,
0.321132547034719,1.983644,1.989535,77.4537,0.77508,17.79804,0,
0.32270672618685,1.220493,2.524599,78.00578,1.158584,16.94325,0.147283,
0.324280905338981,1.06443,2.243876,80.50448,1.162261,15.02496,0,
0.325855084491112,1.849605,2.033293,74.74595,1.381649,19.91121,0.078288,
0.327429263643243,2.67922,1.546613,76.57757,1.498538,17.58353,0.114523,
0.329003442795374,1.390756,1.730973,76.50179,1.095361,19.23654,0.044585,
0.330577621947505,1.879006,1.927203,77.06461,1.08232,18.04687,0,
0.332151801099636,2.023359,2.197108,74.4184,0.610163,20.54576,0.205222,
0.333725980251767,1.564364,1.440977,77.40461,1.363424,18.22663,0,
0.335300159403898,2.395954,2.305827,72.19046,2.186392,20.92137,0,
0.336874338556029,1.085498,2.724689,76.60066,1.45093,18.13822,0,
0.33844851770816,1.780919,1.839697,75.72531,1.297544,18.76979,0.586741,
0.340022696860291,2.166232,1.347118,75.07821,1.345065,19.63914,0.424232,
0.341596876012421,1.65854,2.046324,75.67774,0.854032,19.50573,0.257636,
0.343171055164553,0.727085,1.768463,73.78509,1.429658,22.28971,0,
0.344745234316683,0.94882,2.190956,75.28364,1.248212,20.32837,0,
0.346319413468814,1.211493,2.266121,76.56924,1.117837,18.60539,0.22992,
0.347893592620945,1.728277,2.327698,74.13246,0.991946,20.73639,0.083227,
0.349467771773076,1.596354,1.79759,74.86646,0.973056,20.55805,0.208492,
0.351041950925207,0.669178,3.310897,78.2903,0.867923,16.45121,0.410496,
0.352616130077338,2.191739,2.608483,74.15359,1.397884,19.6483,0,
0.354190309229469,1.671471,2.371512,75.97671,2.061069,17.55789,0.361347,
0.3557644883816,1.102013,2.679793,73.87592,1.641504,20.46331,0.237462,
0.357338667533731,1.911615,2.407041,73.49151,1.616265,20.428,0.145571,
