Distance (µm),O Wt%,F Wt%,Si Wt%,K Wt%,C Wt%,Na Wt%,
0,0.515786,0.379227,89.11396,0.580683,8.782098,0.628246,
0.00157417915213098,0.207794,0.741372,92.02115,0.540207,6.467173,0.022303,
0.00314835830426196,0.4381,0,92.1591,0.20619,7.196607,0,
0.00472253745639293,0.055509,0.75451,91.07932,0.358654,7.693805,0.058199,
0.00629671660852384,0.648543,0.121418,90.64299,0,8.58705,0,
0.00787089576065481,0.029786,0.562095,89.83762,0.00164,9.550819,0.018043,
0.00944507491278579,0.326466,0.497922,90.43981,0,8.735227,0.000576,
0.0110192540649168,0.803731,0.144339,91.55349,0.186298,7.312145,0,
0.0125934332170478,0.393369,0.669481,91.80741,0,7.016765,0.112971,
0.0141676123691787,0.693918,0.16161,92.11831,0,6.386657,0.639504,
0.0157417915213097,0.470568,0.073143,91.29829,0,8.037407,0.120586,
0.0173159706734407,0.33434,0.295324,91.64346,0,7.719107,0.007763,
0.0188901498255716,0.686743,0,90.74827,0.710674,7.854316,0,
0.0204643289777026,0.144465,0.436279,90.0431,0.197442,9.17872,0,
0.0220385081298335,0.233376,0.414399,91.861,0.330572,7.099182,0.061467,
0.0236126872819645,0.570163,0.312364,89.62827,0,9.325576,0.163628,
0.0251868664340955,0.736032,0.284387,92.28598,0.004707,6.688898,0,
0.0267610455862265,0.590404,0.419273,90.97684,0,8.013486,0,
0.0283352247383575,1.036549,0,91.9639,0.047743,6.95181,0,
0.0299094038904884,0.32708,0.570261,91.29733,0.239697,7.565627,0,
0.0314835830426196,0.582471,0.054933,89.99595,0,9.338599,0.028048,
0.0330577621947505,0.570623,0,91.31799,0,8.111389,0,
0.0346319413468815,0.235546,0.287371,91.84717,0,7.333148,0.296763,
0.0362061204990125,0,0.767422,91.28286,0.069762,7.879955,0,
0.0377802996511435,0.52894,0.080172,91.54656,0.271366,7.233361,0.339597,
0.0393544788032745,0.336881,0.200639,91.62785,0.327807,7.445026,0.061797,
0.0409286579554054,0.26028,0.46404,91.24812,0.367375,7.660186,0,
0.0425028371075364,0.950155,0.04148,90.02117,0,8.987193,0,
0.0440770162596673,0.258549,0.391079,89.383,0,9.588675,0.378704,
0.0456511954117983,0.303068,0,90.85346,0,8.843471,0,
0.0472253745639293,0.747884,0.257976,89.7599,0.003306,8.686484,0.54445,
0.0487995537160602,0.798602,0.054443,89.81975,0.159798,9.167409,0,
0.0503737328681912,0.475109,0.503943,89.39168,0.109402,9.424338,0.095526,
0.0519479120203222,0,0.705884,89.70112,0,9.592998,0,
0.0535220911724532,0.272566,0.171467,90.25359,0.204735,9.097644,0,
0.0550962703245842,0.136976,0.329324,89.27142,1.069626,9.184057,0.00859,
0.0566704494767151,0.222069,0.120607,90.80968,0.69968,7.474036,0.673926,
0.0582446286288461,0.259526,0.06943,91.03125,0.085909,8.327366,0.226515,
0.059818807780977,0.28643,0.541209,90.934,0.168876,8.069486,0,
