Distance (µm),Si Kα1 (counts),
0,16283,
0.163242245454834,16531,
0.326484490909669,17022,
0.489726736364503,17176,
0.652968981819339,17190,
0.816211227274173,17314,
0.979453472729007,17206,
1.14269571818384,17413,
1.30593796363868,17098,
1.46918020909351,17378,
1.63242245454835,17323,
1.79566470000318,17342,
1.958906945458,17301,
2.12214919091283,17203,
2.28539143636766,17220,
2.4486336818225,17162,
2.61187592727733,17223,
2.77511817273217,17560,
2.938360418187,17286,
3.10160266364184,17279,
3.26484490909667,17508,
3.42808715455151,17235,
3.59132940000634,17357,
3.75457164546118,17411,
3.91781389091601,17477,
4.08105613637084,17223,
4.24429838182568,17248,
4.40754062728051,17239,
4.57078287273535,17208,
4.73402511819018,17480,
4.89726736364502,17398,
5.06050960909985,17267,
5.22375185455469,17525,
5.38699410000952,17202,
5.55023634546434,17057,
5.71347859091917,17259,
5.87672083637401,17247,
6.03996308182884,17170,
6.20320532728367,17435,
6.36644757273851,17453,
6.52968981819334,17364,
6.69293206364818,17380,
6.85617430910301,17130,
7.01941655455785,17256,
7.18265880001268,17280,
7.34590104546752,17321,
7.50914329092235,17502,
7.67238553637719,17255,
7.83562778183202,17149,
7.99887002728685,17273,
8.16211227274169,17210,
8.32535451819652,17405,
8.48859676365136,17291,
8.65183900910619,17264,
8.81508125456103,17166,
8.97832350001586,17174,
9.1415657454707,17600,
9.30480799092551,17395,
9.46805023638035,17283,
9.63129248183518,17266,
9.79453472729002,17600,
9.95777697274485,17479,
10.1210192181997,17310,
10.2842614636545,17367,
10.4475037091094,17570,
10.6107459545642,17319,
10.773988200019,17437,
10.9372304454739,17511,
11.1004726909287,17093,
11.2637149363835,17208,
11.4269571818384,17394,
11.5901994272932,17335,
11.753441672748,17398,
11.9166839182029,17303,
12.0799261636577,17389,
12.2431684091125,17433,
12.4064106545674,17252,
12.5696529000222,17380,
12.732895145477,17170,
12.8961373909319,17047,
13.0593796363867,17330,
13.2226218818415,17478,
13.3858641272964,17290,
13.5491063727512,17441,
13.712348618206,17663,
13.8755908636609,17447,
14.0388331091157,17601,
14.2020753545705,17428,
14.3653176000254,17417,
14.5285598454802,17355,
14.691802090935,17374,
14.8550443363899,17714,
15.0182865818447,17453,
15.1815288272995,17552,
15.3447710727544,17469,
15.5080133182092,17409,
15.671255563664,17561,
15.8344978091189,17376,
15.9977400545737,17234,
16.1609823000285,17198,
16.3242245454834,17469,
16.4874667909382,17583,
16.650709036393,17232,
16.8139512818479,17248,
16.9771935273027,17448,
17.1404357727575,17351,
17.3036780182124,17248,
17.4669202636672,17164,
17.630162509122,17283,
17.7934047545769,17190,
17.9566470000317,17475,
18.1198892454865,17293,
18.2831314909414,17279,
18.4463737363962,17354,
18.609615981851,17442,
18.7728582273059,17086,
18.9361004727607,17214,
19.0993427182155,17364,
19.2625849636704,17265,
19.4258272091252,16921,
19.5890694545801,17224,
19.7523117000349,17211,
19.9155539454897,17224,
20.0787961909446,17364,
20.2420384363994,17333,
20.4052806818542,17541,
20.568522927309,17122,
20.7317651727639,17323,
20.8950074182187,17181,
21.0582496636735,17368,
21.2214919091284,17385,
21.3847341545832,17293,
21.547976400038,17256,
21.7112186454929,17078,
21.8744608909477,17387,
22.0377031364026,17246,
22.2009453818574,17289,
22.3641876273122,17105,
22.5274298727671,17321,
22.6906721182219,17366,
22.8539143636767,17460,
23.0171566091316,17264,
23.1803988545864,17318,
23.3436411000412,17416,
23.5068833454961,17308,
23.6701255909509,17328,
23.8333678364057,17449,
23.9966100818605,17329,
24.1598523273154,17590,
24.3230945727702,17477,
24.4863368182251,17404,
24.6495790636799,17345,
24.8128213091347,17491,
24.9760635545896,17638,
25.1393058000444,17355,
25.3025480454992,17479,
25.4657902909541,17389,
25.6290325364089,17583,
25.7922747818637,17435,
25.9555170273186,17630,
26.1187592727734,17557,
26.2820015182282,17620,
26.4452437636831,17586,
26.6084860091379,17429,
26.7717282545927,17546,
26.9349705000476,17651,
27.0982127455024,17417,
27.2614549909572,17408,
27.4246972364121,17686,
27.5879394818669,17549,
27.7511817273217,17163,
27.9144239727766,17346,
28.0776662182314,17390,
28.2409084636862,17379,
28.4041507091411,17441,
28.5673929545959,17397,
28.7306352000507,17449,
28.8938774455056,17370,
29.0571196909604,17338,
29.2203619364152,17394,
29.3836041818701,17295,
29.5468464273249,17645,
29.7100886727797,17532,
29.8733309182346,17449,
30.0365731636894,17337,
30.1998154091442,17508,
30.3630576545991,17455,
30.5262999000539,17632,
30.6895421455087,17394,
30.8527843909636,17554,
31.0160266364184,17286,
31.1792688818732,17269,
31.3425111273281,17498,
31.5057533727829,17593,
31.6689956182378,17258,
31.8322378636926,17439,
31.9954801091474,17351,
32.1587223546022,17463,
32.3219646000571,17396,
32.4852068455119,17416,
32.6484490909667,17492,
32.8116913364216,17219,
32.9749335818764,17573,
33.1381758273312,17556,
33.3014180727861,17737,
33.4646603182409,17414,
33.6279025636957,17189,
33.7911448091506,17676,
33.9543870546054,17331,
34.1176293000603,17506,
34.2808715455151,17642,
34.4441137909699,17534,
34.6073560364247,17752,
34.7705982818796,17540,
34.9338405273344,17746,
35.0970827727893,17576,
35.2603250182441,17589,
35.4235672636989,17405,
35.5868095091537,17610,
35.7500517546086,17314,
35.9132940000634,17224,
36.0765362455182,17175,
36.2397784909731,17270,
36.4030207364279,16942,
36.5662629818828,17161,
36.7295052273376,16975,
36.8927474727924,17242,
37.0559897182473,17288,
37.2192319637021,17430,
37.3824742091569,17514,
37.5457164546118,17557,
37.7089587000666,17572,
37.8722009455214,17527,
38.0354431909763,17274,
38.1986854364311,17234,
38.3619276818859,16838,
38.5251699273408,16773,
38.6884121727956,16884,
38.8516544182504,16893,
39.0148966637053,16600,
39.1781389091601,16806,
39.3413811546149,16855,
