Distance (µm),C Kα1_2 (counts),
0,1049,
0.163242245454834,1045,
0.326484490909669,1038,
0.489726736364503,1026,
0.652968981819339,1039,
0.816211227274173,1079,
0.979453472729007,1002,
1.14269571818384,1054,
1.30593796363868,1038,
1.46918020909351,1068,
1.63242245454835,964,
1.79566470000318,1033,
1.958906945458,1077,
2.12214919091283,1087,
2.28539143636766,1011,
2.4486336818225,991,
2.61187592727733,1017,
2.77511817273217,1032,
2.938360418187,1014,
3.10160266364184,1018,
3.26484490909667,1017,
3.42808715455151,998,
3.59132940000634,1023,
3.75457164546118,965,
3.91781389091601,1031,
4.08105613637084,969,
4.24429838182568,1004,
4.40754062728051,1024,
4.57078287273535,986,
4.73402511819018,971,
4.89726736364502,1019,
5.06050960909985,968,
5.22375185455469,975,
5.38699410000952,997,
5.55023634546434,1049,
5.71347859091917,964,
5.87672083637401,1018,
6.03996308182884,987,
6.20320532728367,1038,
6.36644757273851,1019,
6.52968981819334,1038,
6.69293206364818,1001,
6.85617430910301,977,
7.01941655455785,959,
7.18265880001268,992,
7.34590104546752,1020,
7.50914329092235,1040,
7.67238553637719,1047,
7.83562778183202,1056,
7.99887002728685,992,
8.16211227274169,1026,
8.32535451819652,1028,
8.48859676365136,1015,
8.65183900910619,1089,
8.81508125456103,1016,
8.97832350001586,1044,
9.1415657454707,1047,
9.30480799092551,1015,
9.46805023638035,1021,
9.63129248183518,941,
9.79453472729002,1039,
9.95777697274485,1019,
10.1210192181997,1012,
10.2842614636545,1004,
10.4475037091094,976,
10.6107459545642,1028,
10.773988200019,1018,
10.9372304454739,1012,
11.1004726909287,961,
11.2637149363835,1001,
11.4269571818384,977,
11.5901994272932,988,
11.753441672748,963,
11.9166839182029,1077,
12.0799261636577,949,
12.2431684091125,1026,
12.4064106545674,1019,
12.5696529000222,1069,
12.732895145477,1051,
12.8961373909319,1030,
13.0593796363867,1037,
13.2226218818415,1054,
13.3858641272964,1046,
13.5491063727512,997,
13.712348618206,1026,
13.8755908636609,1024,
14.0388331091157,953,
14.2020753545705,999,
