Distance (µm),F Kα1_2 (counts),
0,130,
0.163242245454834,121,
0.326484490909669,121,
0.489726736364503,109,
0.652968981819339,107,
0.816211227274173,109,
0.979453472729007,126,
1.14269571818384,101,
1.30593796363868,74,
1.46918020909351,93,
1.63242245454835,103,
1.79566470000318,98,
1.958906945458,87,
2.12214919091283,86,
2.28539143636766,85,
2.4486336818225,88,
2.61187592727733,111,
2.77511817273217,94,
2.938360418187,95,
3.10160266364184,90,
3.26484490909667,111,
3.42808715455151,114,
3.59132940000634,81,
3.75457164546118,96,
3.91781389091601,93,
4.08105613637084,98,
4.24429838182568,98,
4.40754062728051,92,
4.57078287273535,126,
4.73402511819018,83,
4.89726736364502,92,
5.06050960909985,95,
5.22375185455469,105,
5.38699410000952,94,
5.55023634546434,79,
5.71347859091917,94,
5.87672083637401,70,
6.03996308182884,97,
6.20320532728367,87,
6.36644757273851,92,
6.52968981819334,100,
6.69293206364818,95,
6.85617430910301,94,
7.01941655455785,81,
7.18265880001268,95,
7.34590104546752,96,
7.50914329092235,90,
7.67238553637719,91,
7.83562778183202,105,
7.99887002728685,115,
8.16211227274169,100,
8.32535451819652,104,
8.48859676365136,108,
8.65183900910619,100,
8.81508125456103,99,
8.97832350001586,90,
9.1415657454707,81,
9.30480799092551,90,
9.46805023638035,105,
9.63129248183518,99,
9.79453472729002,104,
9.95777697274485,95,
10.1210192181997,90,
10.2842614636545,67,
10.4475037091094,80,
10.6107459545642,107,
10.773988200019,90,
10.9372304454739,92,
11.1004726909287,101,
11.2637149363835,98,
11.4269571818384,98,
11.5901994272932,90,
11.753441672748,91,
11.9166839182029,94,
12.0799261636577,84,
12.2431684091125,89,
12.4064106545674,101,
12.5696529000222,83,
12.732895145477,81,
12.8961373909319,99,
13.0593796363867,91,
13.2226218818415,89,
13.3858641272964,82,
13.5491063727512,88,
13.712348618206,86,
13.8755908636609,89,
14.0388331091157,90,
14.2020753545705,99,
14.3653176000254,86,
14.5285598454802,85,
14.691802090935,96,
14.8550443363899,79,
15.0182865818447,92,
15.1815288272995,83,
15.3447710727544,105,
15.5080133182092,96,
15.671255563664,92,
15.8344978091189,104,
15.9977400545737,103,
16.1609823000285,110,
16.3242245454834,81,
16.4874667909382,92,
16.650709036393,94,
16.8139512818479,88,
16.9771935273027,102,
17.1404357727575,98,
17.3036780182124,93,
17.4669202636672,95,
17.630162509122,97,
17.7934047545769,104,
17.9566470000317,94,
18.1198892454865,79,
18.2831314909414,90,
18.4463737363962,103,
18.609615981851,106,
18.7728582273059,96,
18.9361004727607,88,
19.0993427182155,100,
19.2625849636704,102,
19.4258272091252,94,
19.5890694545801,98,
19.7523117000349,85,
19.9155539454897,81,
20.0787961909446,90,
20.2420384363994,83,
20.4052806818542,102,
20.568522927309,83,
20.7317651727639,97,
20.8950074182187,101,
21.0582496636735,79,
21.2214919091284,95,
21.3847341545832,96,
21.547976400038,95,
21.7112186454929,105,
21.8744608909477,91,
22.0377031364026,88,
22.2009453818574,94,
22.3641876273122,107,
22.5274298727671,73,
22.6906721182219,87,
22.8539143636767,96,
23.0171566091316,91,
23.1803988545864,90,
23.3436411000412,99,
23.5068833454961,83,
23.6701255909509,87,
23.8333678364057,92,
23.9966100818605,92,
24.1598523273154,88,
24.3230945727702,102,
24.4863368182251,80,
24.6495790636799,89,
24.8128213091347,91,
24.9760635545896,70,
25.1393058000444,96,
25.3025480454992,95,
25.4657902909541,86,
25.6290325364089,98,
25.7922747818637,81,
25.9555170273186,94,
26.1187592727734,77,
26.2820015182282,102,
26.4452437636831,62,
26.6084860091379,114,
26.7717282545927,77,
26.9349705000476,99,
27.0982127455024,97,
27.2614549909572,79,
27.4246972364121,84,
27.5879394818669,93,
27.7511817273217,85,
27.9144239727766,91,
28.0776662182314,103,
28.2409084636862,80,
28.4041507091411,100,
28.5673929545959,96,
28.7306352000507,95,
28.8938774455056,97,
29.0571196909604,90,
29.2203619364152,80,
29.3836041818701,108,
29.5468464273249,81,
29.7100886727797,104,
29.8733309182346,88,
30.0365731636894,86,
30.1998154091442,93,
30.3630576545991,94,
30.5262999000539,97,
