Distance (µm),F Kα1_2 (counts),
30.6895421455087,102,
30.8527843909636,103,
31.0160266364184,93,
31.1792688818732,108,
31.3425111273281,104,
31.5057533727829,94,
31.6689956182378,86,
31.8322378636926,74,
31.9954801091474,88,
32.1587223546022,88,
32.3219646000571,85,
32.4852068455119,95,
32.6484490909667,105,
32.8116913364216,85,
32.9749335818764,88,
33.1381758273312,81,
33.3014180727861,93,
33.4646603182409,94,
33.6279025636957,96,
33.7911448091506,84,
33.9543870546054,82,
34.1176293000603,87,
34.2808715455151,91,
34.4441137909699,82,
34.6073560364247,72,
34.7705982818796,101,
34.9338405273344,91,
35.0970827727893,98,
35.2603250182441,102,
35.4235672636989,98,
35.5868095091537,94,
35.7500517546086,114,
35.9132940000634,115,
36.0765362455182,105,
36.2397784909731,118,
36.4030207364279,128,
36.5662629818828,137,
36.7295052273376,122,
36.8927474727924,127,
37.0559897182473,136,
37.2192319637021,123,
37.3824742091569,118,
37.5457164546118,111,
37.7089587000666,124,
37.8722009455214,99,
38.0354431909763,112,
38.1986854364311,135,
38.3619276818859,164,
38.5251699273408,200,
38.6884121727956,182,
38.8516544182504,193,
39.0148966637053,179,
39.1781389091601,223,
39.3413811546149,186,
39.5046234000698,214,
39.6678656455246,237,
39.8311078909794,287,
39.9943501364343,293,
40.1575923818891,278,
40.3208346273439,253,
40.4840768727988,216,
40.6473191182536,225,
40.8105613637084,191,
40.9738036091633,198,
41.1370458546181,204,
41.3002881000729,210,
41.4635303455278,270,
41.6267725909826,320,
41.7900148364374,367,
41.9532570818923,348,
42.1164993273471,249,
42.2797415728019,176,
42.4429838182567,171,
42.6062260637116,171,
42.7694683091664,153,
42.9327105546213,187,
43.0959528000761,191,
43.2591950455309,144,
43.4224372909858,141,
43.5856795364406,175,
43.7489217818954,154,
43.9121640273503,147,
44.0754062728051,154,
44.2386485182599,149,
44.4018907637148,159,
44.5651330091696,141,
44.7283752546244,135,
44.8916175000793,148,
45.0548597455341,157,
45.2181019909889,156,
45.3813442364438,173,
45.5445864818986,146,
45.7078287273534,130,
45.8710709728083,140,
46.0343132182631,155,
46.1975554637179,121,
46.3607977091728,142,
46.5240399546276,133,
46.6872822000824,131,
46.8505244455373,124,
47.0137666909921,146,
47.1770089364469,144,
47.3402511819018,136,
47.5034934273566,132,
47.6667356728115,123,
47.8299779182663,137,
47.9932201637211,122,
48.1564624091759,147,
48.3197046546308,136,
48.4829469000856,127,
48.6461891455405,149,
48.8094313909953,141,
48.9726736364501,145,
49.1359158819049,154,
49.2991581273598,187,
49.4624003728146,218,
49.6256426182695,255,
49.7888848637243,248,
49.9521271091791,259,
50.1153693546339,187,
50.2786116000888,173,
50.4418538455436,181,
50.6050960909984,153,
50.7683383364533,150,
50.9315805819081,164,
51.094822827363,163,
51.2580650728178,145,
51.4213073182726,164,
51.5845495637274,185,
51.7477918091823,180,
51.9110340546371,187,
52.074276300092,149,
52.2375185455468,125,
52.4007607910016,147,
52.5640030364565,137,
52.7272452819113,118,
52.8904875273661,131,
53.0537297728209,133,
53.2169720182758,116,
53.3802142637306,116,
53.5434565091855,116,
53.7066987546403,99,
53.8699410000951,103,
54.0331832455499,109,
54.1964254910048,88,
54.3596677364596,88,
54.5229099819145,85,
54.6861522273693,100,
54.8493944728241,83,
55.012636718279,102,
55.1758789637338,92,
55.3391212091886,101,
55.5023634546435,90,
55.6656057000983,98,
55.8288479455531,96,
55.992090191008,88,
56.1553324364628,95,
56.3185746819176,92,
56.4818169273725,94,
56.6450591728273,100,
56.8083014182821,84,
56.971543663737,92,
57.1347859091918,111,
57.2980281546466,107,
57.4612704001015,104,
57.6245126455563,115,
57.7877548910111,99,
57.950997136466,121,
58.1142393819208,111,
58.2774816273756,97,
58.4407238728305,128,
58.6039661182853,118,
58.7672083637401,111,
58.930450609195,103,
59.0936928546498,122,
59.2569351001046,117,
59.4201773455595,114,
59.5834195910143,118,
59.7466618364691,125,
59.909904081924,128,
60.0731463273788,116,
60.2363885728336,116,
60.3996308182885,141,
60.5628730637433,122,
60.7261153091981,130,
60.889357554653,107,
61.0525998001078,133,
61.2158420455626,123,
61.3790842910175,103,
61.5423265364723,133,
61.7055687819271,151,
61.868811027382,126,
62.0320532728368,135,
62.1952955182916,133,
62.3585377637465,128,
62.5217800092013,121,
62.6850222546561,123,
62.848264500111,121,
63.0115067455658,141,
63.1747489910206,137,
63.3379912364755,130,
63.5012334819303,127,
63.6644757273851,124,
63.82771797284,121,
63.9909602182948,120,
64.1542024637496,115,
64.3174447092045,110,
64.4806869546593,114,
64.6439292001141,117,
64.807171445569,129,
64.9704136910238,128,
65.1336559364787,114,
65.2968981819335,108,
65.4601404273883,116,
65.6233826728431,121,
65.786624918298,138,
65.9498671637528,98,
66.1131094092077,132,
66.2763516546625,118,
66.4395939001173,119,
66.6028361455722,137,
66.766078391027,124,
66.9293206364818,127,
67.0925628819367,129,
67.2558051273915,114,
67.4190473728463,134,
67.5822896183012,130,
67.745531863756,105,
67.9087741092108,120,
68.0720163546656,130,
68.2352586001205,130,
68.3985008455753,120,
68.5617430910302,133,
68.724985336485,129,
68.8882275819398,109,
69.0514698273947,134,
69.2147120728495,118,
69.3779543183043,130,
69.5411965637592,136,
69.704438809214,136,
69.8676810546688,143,
70.0309233001237,136,
70.1941655455785,115,
70.3574077910333,136,
70.5206500364882,121,
70.683892281943,119,
70.8471345273978,137,
71.0103767728527,128,
71.1736190183075,128,
71.3368612637623,135,
71.5001035092172,151,
71.663345754672,128,
71.8265880001268,128,
71.9898302455817,120,
72.1530724910365,121,
72.3163147364913,130,
72.4795569819461,118,
72.642799227401,129,
72.8060414728558,115,
72.9692837183107,102,
73.1325259637655,132,
73.2957682092203,131,
73.4590104546752,140,
73.62225270013,121,
73.7854949455848,169,
73.9487371910397,146,
74.1119794364945,139,
74.2752216819493,128,
74.4384639274042,160,
74.601706172859,150,
74.7649484183138,150,
74.9281906637687,152,
75.0914329092235,154,
75.2546751546784,133,
75.4179174001332,149,
75.581159645588,154,
75.7444018910428,135,
75.9076441364977,128,
76.0708863819525,165,
76.2341286274073,152,
76.3973708728622,157,
76.560613118317,144,
76.7238553637718,197,
76.8870976092267,173,
77.0503398546815,207,
77.2135821001363,268,
77.3768243455912,276,
77.540066591046,227,
77.7033088365009,169,
77.8665510819557,155,
78.0297933274105,168,
78.1930355728653,163,
78.3562778183202,160,
78.519520063775,139,
78.6827623092298,190,
78.8460045546847,165,
79.0092468001395,175,
79.1724890455943,176,
79.3357312910492,172,
79.498973536504,159,
79.6622157819588,171,
79.8254580274137,163,
79.9887002728685,157,
80.1519425183234,150,
80.3151847637782,176,
80.478427009233,167,
80.6416692546879,134,
80.8049115001427,153,
80.9681537455975,172,
81.1313959910523,173,
81.2946382365072,173,
81.457880481962,184,
