Distance (µm),K Kα1 (counts),
0,141,
0.163242245454834,133,
0.326484490909669,112,
0.489726736364503,126,
0.652968981819339,135,
0.816211227274173,115,
0.979453472729007,113,
1.14269571818384,119,
1.30593796363868,120,
1.46918020909351,107,
1.63242245454835,118,
1.79566470000318,88,
1.958906945458,117,
2.12214919091283,111,
2.28539143636766,107,
2.4486336818225,110,
2.61187592727733,117,
2.77511817273217,117,
2.938360418187,109,
3.10160266364184,90,
3.26484490909667,94,
3.42808715455151,113,
3.59132940000634,104,
3.75457164546118,107,
3.91781389091601,96,
4.08105613637084,88,
4.24429838182568,93,
4.40754062728051,116,
4.57078287273535,104,
4.73402511819018,104,
4.89726736364502,112,
5.06050960909985,92,
5.22375185455469,116,
5.38699410000952,95,
5.55023634546434,112,
5.71347859091917,106,
5.87672083637401,104,
6.03996308182884,102,
6.20320532728367,119,
6.36644757273851,113,
6.52968981819334,99,
6.69293206364818,110,
6.85617430910301,93,
7.01941655455785,104,
7.18265880001268,96,
7.34590104546752,114,
7.50914329092235,117,
7.67238553637719,102,
7.83562778183202,99,
7.99887002728685,104,
8.16211227274169,106,
8.32535451819652,101,
8.48859676365136,90,
8.65183900910619,105,
8.81508125456103,107,
8.97832350001586,103,
9.1415657454707,110,
9.30480799092551,97,
9.46805023638035,115,
9.63129248183518,107,
9.79453472729002,96,
9.95777697274485,93,
10.1210192181997,81,
10.2842614636545,96,
10.4475037091094,107,
10.6107459545642,94,
10.773988200019,96,
10.9372304454739,92,
11.1004726909287,87,
11.2637149363835,127,
11.4269571818384,89,
11.5901994272932,96,
11.753441672748,96,
11.9166839182029,98,
12.0799261636577,108,
12.2431684091125,104,
12.4064106545674,109,
12.5696529000222,97,
12.732895145477,103,
12.8961373909319,94,
13.0593796363867,100,
13.2226218818415,78,
13.3858641272964,113,
13.5491063727512,82,
13.712348618206,104,
13.8755908636609,104,
14.0388331091157,90,
14.2020753545705,89,
14.3653176000254,95,
14.5285598454802,95,
14.691802090935,119,
14.8550443363899,112,
15.0182865818447,103,
15.1815288272995,109,
15.3447710727544,107,
15.5080133182092,99,
15.671255563664,111,
15.8344978091189,107,
15.9977400545737,88,
16.1609823000285,104,
16.3242245454834,94,
16.4874667909382,105,
16.650709036393,95,
16.8139512818479,96,
16.9771935273027,105,
17.1404357727575,94,
17.3036780182124,98,
17.4669202636672,113,
17.630162509122,94,
17.7934047545769,106,
17.9566470000317,92,
18.1198892454865,92,
18.2831314909414,105,
18.4463737363962,93,
18.609615981851,103,
18.7728582273059,97,
18.9361004727607,88,
19.0993427182155,106,
19.2625849636704,111,
19.4258272091252,93,
19.5890694545801,102,
19.7523117000349,115,
19.9155539454897,102,
20.0787961909446,105,
20.2420384363994,90,
20.4052806818542,97,
20.568522927309,87,
20.7317651727639,95,
20.8950074182187,100,
21.0582496636735,88,
21.2214919091284,101,
21.3847341545832,88,
21.547976400038,95,
21.7112186454929,101,
21.8744608909477,99,
22.0377031364026,110,
22.2009453818574,111,
22.3641876273122,100,
22.5274298727671,103,
22.6906721182219,100,
22.8539143636767,104,
23.0171566091316,105,
23.1803988545864,95,
23.3436411000412,93,
23.5068833454961,107,
23.6701255909509,93,
