Distance (µm),K Kα1 (counts),
23.8333678364057,103,
23.9966100818605,89,
24.1598523273154,113,
24.3230945727702,90,
24.4863368182251,96,
24.6495790636799,90,
24.8128213091347,101,
24.9760635545896,82,
25.1393058000444,120,
25.3025480454992,93,
25.4657902909541,89,
25.6290325364089,104,
25.7922747818637,74,
25.9555170273186,100,
26.1187592727734,107,
26.2820015182282,95,
26.4452437636831,89,
26.6084860091379,99,
26.7717282545927,115,
26.9349705000476,95,
27.0982127455024,95,
27.2614549909572,106,
27.4246972364121,100,
27.5879394818669,103,
27.7511817273217,86,
27.9144239727766,84,
28.0776662182314,99,
28.2409084636862,100,
28.4041507091411,101,
28.5673929545959,90,
28.7306352000507,100,
28.8938774455056,95,
29.0571196909604,107,
29.2203619364152,97,
29.3836041818701,110,
29.5468464273249,84,
29.7100886727797,98,
29.8733309182346,101,
30.0365731636894,77,
30.1998154091442,102,
30.3630576545991,96,
30.5262999000539,110,
30.6895421455087,89,
30.8527843909636,104,
31.0160266364184,95,
31.1792688818732,101,
31.3425111273281,102,
31.5057533727829,102,
31.6689956182378,134,
31.8322378636926,87,
31.9954801091474,94,
32.1587223546022,102,
32.3219646000571,99,
32.4852068455119,92,
32.6484490909667,83,
32.8116913364216,101,
32.9749335818764,104,
33.1381758273312,99,
33.3014180727861,86,
33.4646603182409,91,
33.6279025636957,93,
33.7911448091506,110,
33.9543870546054,117,
34.1176293000603,78,
34.2808715455151,106,
34.4441137909699,99,
34.6073560364247,101,
34.7705982818796,85,
34.9338405273344,127,
35.0970827727893,103,
35.2603250182441,136,
35.4235672636989,117,
35.5868095091537,126,
35.7500517546086,136,
35.9132940000634,146,
36.0765362455182,163,
36.2397784909731,208,
36.4030207364279,201,
36.5662629818828,239,
36.7295052273376,207,
36.8927474727924,198,
37.0559897182473,192,
37.2192319637021,185,
37.3824742091569,163,
37.5457164546118,188,
37.7089587000666,145,
37.8722009455214,169,
38.0354431909763,197,
38.1986854364311,221,
38.3619276818859,282,
38.5251699273408,234,
38.6884121727956,322,
38.8516544182504,318,
39.0148966637053,372,
39.1781389091601,375,
39.3413811546149,364,
39.5046234000698,352,
39.6678656455246,343,
39.8311078909794,443,
39.9943501364343,424,
40.1575923818891,427,
40.3208346273439,362,
40.4840768727988,382,
40.6473191182536,370,
40.8105613637084,337,
40.9738036091633,296,
41.1370458546181,290,
41.3002881000729,318,
41.4635303455278,369,
41.6267725909826,551,
41.7900148364374,621,
41.9532570818923,585,
42.1164993273471,410,
42.2797415728019,280,
42.4429838182567,277,
42.6062260637116,246,
42.7694683091664,281,
42.9327105546213,245,
43.0959528000761,273,
43.2591950455309,248,
43.4224372909858,233,
43.5856795364406,221,
43.7489217818954,235,
43.9121640273503,207,
44.0754062728051,229,
44.2386485182599,215,
44.4018907637148,197,
44.5651330091696,222,
44.7283752546244,192,
44.8916175000793,223,
45.0548597455341,241,
45.2181019909889,242,
45.3813442364438,254,
45.5445864818986,228,
45.7078287273534,224,
45.8710709728083,226,
46.0343132182631,231,
46.1975554637179,216,
46.3607977091728,218,
46.5240399546276,206,
46.6872822000824,193,
46.8505244455373,187,
47.0137666909921,198,
47.1770089364469,182,
47.3402511819018,204,
47.5034934273566,223,
47.6667356728115,229,
47.8299779182663,206,
47.9932201637211,215,
48.1564624091759,213,
48.3197046546308,274,
48.4829469000856,273,
48.6461891455405,262,
48.8094313909953,240,
48.9726736364501,298,
49.1359158819049,267,
49.2991581273598,340,
49.4624003728146,418,
49.6256426182695,513,
49.7888848637243,501,
49.9521271091791,471,
50.1153693546339,394,
50.2786116000888,328,
50.4418538455436,304,
50.6050960909984,247,
50.7683383364533,228,
50.9315805819081,223,
51.094822827363,219,
51.2580650728178,237,
51.4213073182726,209,
51.5845495637274,239,
51.7477918091823,246,
51.9110340546371,223,
52.074276300092,203,
52.2375185455468,237,
52.4007607910016,194,
52.5640030364565,177,
52.7272452819113,163,
52.8904875273661,149,
53.0537297728209,188,
53.2169720182758,160,
53.3802142637306,163,
53.5434565091855,144,
53.7066987546403,137,
53.8699410000951,117,
54.0331832455499,96,
54.1964254910048,111,
54.3596677364596,120,
54.5229099819145,104,
54.6861522273693,105,
54.8493944728241,104,
55.012636718279,106,
55.1758789637338,93,
55.3391212091886,101,
55.5023634546435,92,
55.6656057000983,105,
55.8288479455531,110,
55.992090191008,97,
56.1553324364628,104,
56.3185746819176,109,
56.4818169273725,113,
56.6450591728273,111,
56.8083014182821,112,
56.971543663737,127,
57.1347859091918,121,
57.2980281546466,137,
57.4612704001015,116,
57.6245126455563,150,
57.7877548910111,165,
57.950997136466,195,
58.1142393819208,158,
58.2774816273756,184,
58.4407238728305,181,
58.6039661182853,159,
58.7672083637401,195,
58.930450609195,184,
59.0936928546498,214,
59.2569351001046,200,
59.4201773455595,201,
59.5834195910143,214,
59.7466618364691,182,
59.909904081924,213,
60.0731463273788,227,
60.2363885728336,222,
60.3996308182885,197,
60.5628730637433,205,
60.7261153091981,195,
60.889357554653,174,
61.0525998001078,191,
61.2158420455626,176,
61.3790842910175,202,
61.5423265364723,231,
61.7055687819271,204,
61.868811027382,218,
62.0320532728368,214,
62.1952955182916,202,
62.3585377637465,172,
62.5217800092013,184,
62.6850222546561,189,
62.848264500111,194,
63.0115067455658,217,
63.1747489910206,239,
63.3379912364755,201,
63.5012334819303,188,
63.6644757273851,220,
63.82771797284,191,
63.9909602182948,190,
64.1542024637496,194,
64.3174447092045,157,
64.4806869546593,196,
64.6439292001141,160,
64.807171445569,191,
64.9704136910238,170,
65.1336559364787,193,
65.2968981819335,193,
65.4601404273883,168,
65.6233826728431,174,
65.786624918298,190,
65.9498671637528,181,
66.1131094092077,218,
66.2763516546625,197,
66.4395939001173,200,
66.6028361455722,183,
66.766078391027,183,
66.9293206364818,203,
67.0925628819367,176,
67.2558051273915,203,
67.4190473728463,201,
67.5822896183012,178,
67.745531863756,180,
67.9087741092108,204,
68.0720163546656,190,
68.2352586001205,208,
68.3985008455753,211,
68.5617430910302,194,
68.724985336485,211,
68.8882275819398,214,
69.0514698273947,202,
69.2147120728495,220,
69.3779543183043,223,
69.5411965637592,213,
69.704438809214,194,
69.8676810546688,183,
70.0309233001237,188,
70.1941655455785,217,
70.3574077910333,195,
70.5206500364882,199,
70.683892281943,209,
70.8471345273978,192,
71.0103767728527,203,
71.1736190183075,198,
71.3368612637623,194,
71.5001035092172,218,
71.663345754672,199,
71.8265880001268,182,
71.9898302455817,200,
72.1530724910365,237,
72.3163147364913,208,
72.4795569819461,193,
72.642799227401,187,
72.8060414728558,192,
72.9692837183107,188,
73.1325259637655,190,
73.2957682092203,182,
73.4590104546752,194,
73.62225270013,252,
73.7854949455848,215,
73.9487371910397,239,
74.1119794364945,208,
74.2752216819493,221,
74.4384639274042,244,
74.601706172859,262,
74.7649484183138,248,
74.9281906637687,224,
75.0914329092235,250,
75.2546751546784,263,
75.4179174001332,242,
75.581159645588,225,
75.7444018910428,220,
75.9076441364977,250,
76.0708863819525,280,
76.2341286274073,267,
76.3973708728622,257,
76.560613118317,270,
76.7238553637718,319,
76.8870976092267,288,
77.0503398546815,347,
77.2135821001363,382,
77.3768243455912,385,
77.540066591046,390,
77.7033088365009,318,
77.8665510819557,256,
78.0297933274105,270,
78.1930355728653,273,
78.3562778183202,262,
78.519520063775,271,
78.6827623092298,275,
78.8460045546847,291,
79.0092468001395,295,
79.1724890455943,284,
79.3357312910492,291,
79.498973536504,249,
79.6622157819588,266,
79.8254580274137,266,
79.9887002728685,262,
80.1519425183234,253,
80.3151847637782,255,
80.478427009233,237,
80.6416692546879,204,
80.8049115001427,220,
80.9681537455975,224,
81.1313959910523,237,
81.2946382365072,244,
81.457880481962,231,
