Distance (µm),O Kα1 (counts),
0,144,
0.163242245454834,137,
0.326484490909669,125,
0.489726736364503,101,
0.652968981819339,121,
0.816211227274173,100,
0.979453472729007,88,
1.14269571818384,87,
1.30593796363868,91,
1.46918020909351,79,
1.63242245454835,94,
1.79566470000318,95,
1.958906945458,98,
2.12214919091283,85,
2.28539143636766,82,
2.4486336818225,103,
2.61187592727733,81,
2.77511817273217,106,
2.938360418187,89,
3.10160266364184,85,
3.26484490909667,86,
3.42808715455151,88,
3.59132940000634,89,
3.75457164546118,85,
3.91781389091601,76,
4.08105613637084,91,
4.24429838182568,90,
4.40754062728051,94,
4.57078287273535,93,
4.73402511819018,75,
4.89726736364502,87,
5.06050960909985,79,
5.22375185455469,95,
5.38699410000952,84,
5.55023634546434,92,
5.71347859091917,89,
5.87672083637401,92,
6.03996308182884,85,
6.20320532728367,79,
6.36644757273851,81,
6.52968981819334,86,
6.69293206364818,78,
6.85617430910301,92,
7.01941655455785,83,
7.18265880001268,90,
7.34590104546752,80,
7.50914329092235,79,
7.67238553637719,87,
7.83562778183202,79,
7.99887002728685,85,
8.16211227274169,75,
8.32535451819652,89,
8.48859676365136,88,
8.65183900910619,83,
8.81508125456103,74,
8.97832350001586,79,
9.1415657454707,110,
9.30480799092551,97,
9.46805023638035,76,
9.63129248183518,88,
9.79453472729002,76,
9.95777697274485,78,
10.1210192181997,80,
10.2842614636545,80,
10.4475037091094,95,
10.6107459545642,90,
10.773988200019,76,
10.9372304454739,86,
11.1004726909287,87,
11.2637149363835,80,
11.4269571818384,96,
11.5901994272932,81,
11.753441672748,80,
11.9166839182029,85,
12.0799261636577,79,
12.2431684091125,63,
12.4064106545674,82,
12.5696529000222,88,
12.732895145477,84,
12.8961373909319,83,
13.0593796363867,81,
13.2226218818415,79,
13.3858641272964,85,
13.5491063727512,91,
13.712348618206,83,
13.8755908636609,83,
14.0388331091157,96,
14.2020753545705,64,
14.3653176000254,70,
14.5285598454802,64,
14.691802090935,80,
14.8550443363899,74,
15.0182865818447,74,
15.1815288272995,82,
15.3447710727544,82,
15.5080133182092,86,
15.671255563664,89,
15.8344978091189,98,
15.9977400545737,72,
16.1609823000285,74,
16.3242245454834,81,
16.4874667909382,77,
16.650709036393,99,
16.8139512818479,85,
16.9771935273027,80,
17.1404357727575,79,
17.3036780182124,78,
17.4669202636672,93,
17.630162509122,94,
17.7934047545769,91,
17.9566470000317,85,
18.1198892454865,86,
18.2831314909414,80,
18.4463737363962,88,
18.609615981851,81,
18.7728582273059,83,
18.9361004727607,75,
19.0993427182155,83,
19.2625849636704,96,
19.4258272091252,91,
19.5890694545801,85,
19.7523117000349,75,
19.9155539454897,85,
20.0787961909446,78,
20.2420384363994,81,
20.4052806818542,104,
20.568522927309,85,
20.7317651727639,77,
20.8950074182187,89,
21.0582496636735,91,
21.2214919091284,74,
21.3847341545832,81,
21.547976400038,89,
21.7112186454929,83,
21.8744608909477,81,
22.0377031364026,76,
22.2009453818574,98,
22.3641876273122,85,
22.5274298727671,78,
22.6906721182219,84,
22.8539143636767,88,
23.0171566091316,86,
23.1803988545864,85,
23.3436411000412,75,
23.5068833454961,86,
23.6701255909509,83,
23.8333678364057,87,
23.9966100818605,81,
24.1598523273154,86,
24.3230945727702,94,
24.4863368182251,74,
24.6495790636799,82,
24.8128213091347,83,
24.9760635545896,69,
25.1393058000444,74,
25.3025480454992,84,
25.4657902909541,83,
25.6290325364089,73,
25.7922747818637,68,
25.9555170273186,85,
26.1187592727734,63,
26.2820015182282,90,
26.4452437636831,90,
26.6084860091379,82,
26.7717282545927,77,
26.9349705000476,85,
27.0982127455024,76,
27.2614549909572,73,
27.4246972364121,78,
27.5879394818669,80,
27.7511817273217,96,
27.9144239727766,89,
28.0776662182314,92,
28.2409084636862,78,
28.4041507091411,85,
28.5673929545959,93,
28.7306352000507,84,
28.8938774455056,86,
29.0571196909604,86,
29.2203619364152,83,
29.3836041818701,97,
29.5468464273249,84,
29.7100886727797,78,
29.8733309182346,73,
30.0365731636894,79,
30.1998154091442,81,
30.3630576545991,68,
30.5262999000539,78,
30.6895421455087,74,
30.8527843909636,80,
31.0160266364184,84,
31.1792688818732,99,
31.3425111273281,88,
31.5057533727829,88,
31.6689956182378,83,
31.8322378636926,80,
31.9954801091474,83,
32.1587223546022,73,
32.3219646000571,77,
32.4852068455119,102,
32.6484490909667,91,
32.8116913364216,89,
32.9749335818764,95,
33.1381758273312,87,
33.3014180727861,87,
33.4646603182409,84,
33.6279025636957,80,
33.7911448091506,88,
33.9543870546054,76,
34.1176293000603,82,
34.2808715455151,96,
34.4441137909699,77,
34.6073560364247,83,
34.7705982818796,80,
34.9338405273344,83,
35.0970827727893,90,
35.2603250182441,85,
35.4235672636989,87,
35.5868095091537,108,
35.7500517546086,98,
35.9132940000634,119,
36.0765362455182,122,
