Distance (µm),O Kα1 (counts),
36.2397784909731,131,
36.4030207364279,107,
36.5662629818828,113,
36.7295052273376,134,
36.8927474727924,129,
37.0559897182473,119,
37.2192319637021,120,
37.3824742091569,103,
37.5457164546118,115,
37.7089587000666,112,
37.8722009455214,107,
38.0354431909763,118,
38.1986854364311,136,
38.3619276818859,140,
38.5251699273408,145,
38.6884121727956,186,
38.8516544182504,207,
39.0148966637053,244,
39.1781389091601,230,
39.3413811546149,218,
39.5046234000698,200,
39.6678656455246,212,
39.8311078909794,212,
39.9943501364343,235,
40.1575923818891,213,
40.3208346273439,207,
40.4840768727988,218,
40.6473191182536,203,
40.8105613637084,171,
40.9738036091633,156,
41.1370458546181,173,
41.3002881000729,181,
41.4635303455278,217,
41.6267725909826,270,
41.7900148364374,300,
41.9532570818923,246,
42.1164993273471,182,
42.2797415728019,163,
42.4429838182567,150,
42.6062260637116,139,
42.7694683091664,141,
42.9327105546213,167,
43.0959528000761,149,
43.2591950455309,141,
43.4224372909858,156,
43.5856795364406,118,
43.7489217818954,137,
43.9121640273503,152,
44.0754062728051,157,
44.2386485182599,125,
44.4018907637148,121,
44.5651330091696,147,
44.7283752546244,145,
44.8916175000793,141,
45.0548597455341,155,
45.2181019909889,176,
45.3813442364438,146,
45.5445864818986,157,
45.7078287273534,131,
45.8710709728083,141,
46.0343132182631,148,
46.1975554637179,151,
46.3607977091728,129,
46.5240399546276,134,
46.6872822000824,129,
46.8505244455373,136,
47.0137666909921,154,
47.1770089364469,120,
47.3402511819018,124,
47.5034934273566,160,
47.6667356728115,135,
47.8299779182663,135,
47.9932201637211,144,
48.1564624091759,103,
48.3197046546308,138,
48.4829469000856,128,
48.6461891455405,145,
48.8094313909953,172,
48.9726736364501,157,
49.1359158819049,172,
49.2991581273598,205,
49.4624003728146,233,
49.6256426182695,264,
49.7888848637243,241,
49.9521271091791,242,
50.1153693546339,191,
50.2786116000888,183,
50.4418538455436,184,
50.6050960909984,147,
50.7683383364533,169,
50.9315805819081,153,
51.094822827363,138,
51.2580650728178,156,
51.4213073182726,146,
51.5845495637274,163,
51.7477918091823,151,
51.9110340546371,127,
52.074276300092,144,
52.2375185455468,128,
52.4007607910016,116,
52.5640030364565,130,
52.7272452819113,116,
52.8904875273661,104,
53.0537297728209,112,
53.2169720182758,115,
53.3802142637306,120,
53.5434565091855,95,
53.7066987546403,75,
53.8699410000951,89,
54.0331832455499,83,
54.1964254910048,81,
54.3596677364596,91,
54.5229099819145,88,
54.6861522273693,64,
54.8493944728241,70,
55.012636718279,84,
55.1758789637338,115,
55.3391212091886,90,
55.5023634546435,90,
55.6656057000983,89,
55.8288479455531,88,
55.992090191008,81,
56.1553324364628,68,
56.3185746819176,89,
56.4818169273725,82,
56.6450591728273,100,
56.8083014182821,78,
56.971543663737,85,
57.1347859091918,101,
57.2980281546466,89,
57.4612704001015,100,
57.6245126455563,108,
57.7877548910111,123,
57.950997136466,136,
58.1142393819208,145,
58.2774816273756,118,
58.4407238728305,112,
58.6039661182853,136,
58.7672083637401,130,
58.930450609195,109,
59.0936928546498,117,
59.2569351001046,147,
59.4201773455595,143,
59.5834195910143,111,
59.7466618364691,122,
59.909904081924,149,
60.0731463273788,138,
60.2363885728336,132,
60.3996308182885,137,
60.5628730637433,140,
60.7261153091981,105,
60.889357554653,135,
61.0525998001078,123,
61.2158420455626,113,
61.3790842910175,134,
61.5423265364723,148,
61.7055687819271,129,
61.868811027382,139,
62.0320532728368,147,
62.1952955182916,122,
62.3585377637465,120,
62.5217800092013,121,
62.6850222546561,132,
62.848264500111,140,
63.0115067455658,147,
63.1747489910206,138,
63.3379912364755,150,
63.5012334819303,143,
63.6644757273851,101,
63.82771797284,124,
63.9909602182948,114,
64.1542024637496,126,
64.3174447092045,115,
64.4806869546593,134,
64.6439292001141,108,
64.807171445569,106,
64.9704136910238,114,
65.1336559364787,109,
65.2968981819335,135,
65.4601404273883,132,
65.6233826728431,122,
65.786624918298,137,
65.9498671637528,125,
66.1131094092077,129,
66.2763516546625,128,
66.4395939001173,126,
66.6028361455722,127,
66.766078391027,128,
66.9293206364818,128,
67.0925628819367,139,
67.2558051273915,148,
67.4190473728463,116,
67.5822896183012,140,
67.745531863756,138,
67.9087741092108,120,
68.0720163546656,121,
68.2352586001205,111,
68.3985008455753,134,
68.5617430910302,135,
68.724985336485,135,
68.8882275819398,122,
69.0514698273947,128,
69.2147120728495,124,
69.3779543183043,134,
69.5411965637592,150,
69.704438809214,125,
69.8676810546688,151,
70.0309233001237,127,
70.1941655455785,141,
70.3574077910333,152,
70.5206500364882,136,
70.683892281943,143,
70.8471345273978,135,
71.0103767728527,152,
71.1736190183075,124,
71.3368612637623,129,
71.5001035092172,142,
71.663345754672,134,
71.8265880001268,120,
71.9898302455817,122,
72.1530724910365,138,
72.3163147364913,153,
72.4795569819461,148,
72.642799227401,133,
72.8060414728558,120,
72.9692837183107,118,
73.1325259637655,152,
73.2957682092203,142,
73.4590104546752,112,
73.62225270013,125,
73.7854949455848,148,
73.9487371910397,131,
74.1119794364945,152,
74.2752216819493,155,
74.4384639274042,149,
74.601706172859,137,
74.7649484183138,147,
74.9281906637687,143,
75.0914329092235,162,
75.2546751546784,149,
75.4179174001332,167,
75.581159645588,141,
75.7444018910428,173,
75.9076441364977,146,
76.0708863819525,156,
76.2341286274073,140,
76.3973708728622,148,
76.560613118317,166,
76.7238553637718,162,
76.8870976092267,157,
77.0503398546815,222,
77.2135821001363,198,
77.3768243455912,208,
77.540066591046,198,
77.7033088365009,178,
77.8665510819557,168,
78.0297933274105,183,
78.1930355728653,182,
78.3562778183202,174,
78.519520063775,161,
78.6827623092298,178,
78.8460045546847,179,
79.0092468001395,168,
79.1724890455943,176,
79.3357312910492,176,
79.498973536504,148,
79.6622157819588,163,
79.8254580274137,154,
79.9887002728685,157,
80.1519425183234,164,
80.3151847637782,143,
80.478427009233,185,
80.6416692546879,130,
80.8049115001427,148,
80.9681537455975,154,
81.1313959910523,126,
81.2946382365072,170,
81.457880481962,185,
